City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,santa lucia,27.9117,-15.5407,11.54,88,20,2.57,ES,1676170728
281,manicore,-5.8092,-61.3003,23.2,99,100,1.04,BR,1676170728
282,constitucion,-35.3333,-72.4167,14.99,76,0,4.63,CL,1676170557
283,daitari,21.1,85.75,24.93,19,90,1.93,IN,1676170729
284,faya,18.3851,42.4509,11.29,24,0,2.59,SA,1676170729
285,lavrentiya,65.5833,-171.0,-28.05,90,52,3.12,RU,1676170730
286,ivanivka,46.7208,34.553,-0.46,78,100,4.34,UA,1676170730
287,brae,60.3964,-1.353,9.0,81,100,12.06,GB,1676170731
288,turukhansk,65.8167,87.9833,-13.89,95,100,6.68,RU,1676170731
289,terra rica,-22.7094,-52.6169,21.59,93,100,2.38,BR,1676170732
290,flinders,-34.5833,150.8552,27.88,63,62,2.24,AU,1676170732
291,conceicao do rio verde,-21.8808,-45.0853,18.7,96,100,1.12,BR,1676170733
292,belmonte,-15.8631,-38.8828,24.95,89,44,2.07,BR,1676170733
293,victor harbor,-35.5667,138.6167,22.04,54,1,5.86,AU,1676170733
294,energeticheskiy,43.4278,77.0222,-9.69,73,75,3.0,KZ,1676170734
295,maragogi,-9.0122,-35.2225,24.86,80,16,0.79,BR,1676170734
296,vardo,70.3705,31.1107,-2.01,100,97,6.69,NO,1676170735
297,margate,51.3813,1.3862,7.95,83,100,0.82,GB,1676170735
298,devonport,-41.1667,146.35,25.05,39,0,8.1,AU,1676170736
299,pouembout,-21.1333,164.9,26.66,64,75,4.55,NC,1676170736
300,omboue,-1.5746,9.2618,25.5,87,99,0.99,GA,1676170737
301,waipawa,-41.4122,175.5153,17.57,65,100,5.4,NZ,1676170737
302,sabang,5.8933,95.3214,27.16,76,87,2.3,ID,1676170738
303,mehamn,71.0357,27.8492,0.97,69,75,8.23,NO,1676170738
304,jaisalmer,26.9147,70.9181,15.43,18,0,5.53,IN,1676170527
305,naro moru,-0.1676,37.0213,10.07,60,100,0.71,KE,1676170739
306,mazara del vallo,37.6641,12.588,8.85,79,9,2.42,IT,1676170739
307,aransas pass,27.9095,-97.15,14.0,63,0,2.06,US,1676170471
308,komsomolskiy,40.4272,71.7189,-4.6,80,26,1.03,UZ,1676170739
309,letlhakeng,-24.0944,25.0298,19.69,72,33,2.37,BW,1676170740
310,verkhnevilyuysk,63.4453,120.3167,-20.88,96,100,0.89,RU,1676170740
311,saint-georges,12.0564,-61.7485,24.82,83,20,6.17,GD,1676170741
312,butaritari,3.0707,172.7902,26.92,83,32,7.18,KI,1676170741
313,kulhudhuffushi,6.6221,73.07,26.31,67,33,0.87,MV,1676170742
314,najran,17.4924,44.1277,14.36,29,10,2.53,SA,1676170603
315,geraldton,-28.7667,114.6,30.23,32,0,4.12,AU,1676170742
316,russell,32.3502,-85.1999,9.6,87,100,4.12,US,1676170743
317,mecca,21.4267,39.8261,21.55,83,28,0.33,SA,1676170610
318,teguldet,57.3064,88.1667,-22.41,98,21,1.39,RU,1676170743
319,krasnoselkup,65.7,82.4667,-13.85,94,100,8.08,RU,1676170744
320,guarda,40.5373,-7.2658,0.04,77,45,2.63,PT,1676170701
321,hithadhoo,-0.6,73.0833,27.06,69,3,5.24,MV,1676170744
